               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.046264,            0.010584,                   0,             0.78482,             0.85824,             0.90158,             0.47287,             0.04359,             0.01288,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.046377,             0.01298,                   0,             0.78482,             0.85824,             0.90158,             0.47287,             0.04359,             0.01288,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.049021,            0.011598,                   0,             0.62504,             0.84987,              0.8318,             0.44596,            0.050414,             0.01211,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.042382,            0.012403,                   0,             0.87286,             0.98039,             0.97708,             0.50589,            0.038191,            0.012943,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.041106,            0.011102,                   0,              0.8503,             0.98039,             0.97254,             0.58475,             0.03515,            0.012754,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041697,            0.011265,                   0,             0.69513,             0.98039,              0.8978,             0.43773,            0.039029,            0.012469,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.044408,            0.011031,                   0,             0.98865,             0.90196,             0.99061,             0.58603,            0.042365,            0.011596,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.048432,            0.010642,                   0,             0.92306,             0.98039,             0.96276,             0.37257,            0.043325,            0.011909,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.044282,            0.011516,                   0,             0.81389,             0.98039,             0.92106,             0.40562,            0.044947,            0.011234,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.047192,            0.011359,                   0,             0.81389,             0.98039,             0.92106,             0.40562,            0.044947,            0.011234,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.045622,            0.010663,                   0,              0.9109,             0.98039,             0.98654,             0.43403,            0.044481,            0.011082,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039739,            0.012263,                   0,                   1,              0.9972,               0.995,             0.51507,            0.033088,            0.011925,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.040757,            0.012531,                   0,                   1,             0.99628,               0.995,             0.54022,             0.03549,            0.011454,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.047222,             0.01227,                   0,             0.76989,             0.85291,             0.86075,             0.25118,            0.044408,            0.011355,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.04697,            0.011093,                   0,             0.99072,             0.98039,             0.99444,             0.58836,            0.038761,            0.010981,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.040047,            0.010618,                   0,             0.86185,             0.97861,             0.93154,             0.49171,            0.036602,            0.011146,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.049338,            0.011394,                   0,             0.98029,             0.97519,             0.99244,             0.52766,            0.036975,            0.010972,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.041361,            0.010287,                   0,             0.98029,             0.97519,             0.99244,             0.52766,            0.036975,            0.010972,                   0,            0.006238,            0.006238,            0.006238
                  78,             0.03994,            0.010218,                   0,              0.9954,             0.98039,             0.99427,             0.58098,            0.039137,            0.010636,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.039622,           0.0097457,                   0,             0.99676,                   1,               0.995,             0.65434,            0.031581,            0.010883,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.03693,            0.011172,                   0,              0.9957,                   1,               0.995,             0.65554,            0.033414,            0.010674,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,             0.03987,            0.010752,                   0,             0.99668,                   1,               0.995,             0.51828,            0.036811,            0.010455,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.041071,             0.01108,                   0,             0.95899,             0.98039,              0.9784,             0.40224,            0.036159,            0.010439,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,             0.03996,           0.0099926,                   0,              0.9759,                   1,             0.99481,             0.53219,            0.038109,            0.010225,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.041907,            0.010274,                   0,             0.99646,                   1,               0.995,             0.58565,            0.033398,             0.01021,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.039791,            0.010831,                   0,             0.99646,                   1,               0.995,             0.58565,            0.033398,             0.01021,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.040709,           0.0098449,                   0,             0.99568,                   1,               0.995,             0.56262,             0.03524,            0.010093,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.037405,            0.011224,                   0,             0.99474,                   1,               0.995,             0.57448,            0.031206,            0.010181,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.035006,            0.011273,                   0,             0.99502,                   1,               0.995,             0.60432,            0.030673,            0.010158,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.037151,           0.0094916,                   0,              0.9952,                   1,               0.995,               0.602,            0.034012,           0.0099239,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.038442,            0.010283,                   0,             0.98336,                   1,               0.995,              0.5851,            0.033222,           0.0097432,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.038154,            0.010026,                   0,             0.97517,                   1,             0.99212,             0.46476,            0.034802,           0.0096275,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.039518,           0.0093436,                   0,             0.99721,                   1,               0.995,             0.64682,            0.033389,           0.0093233,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.039647,           0.0092769,                   0,             0.99721,                   1,               0.995,             0.64682,            0.033389,           0.0093233,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.039544,           0.0090141,                   0,             0.99694,                   1,               0.995,             0.64326,            0.032174,           0.0093238,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.034327,           0.0093262,                   0,             0.99727,                   1,               0.995,             0.62091,            0.029484,           0.0094328,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.033101,            0.010283,                   0,             0.97714,             0.98039,              0.9777,             0.53314,            0.033578,           0.0093373,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.034951,           0.0097678,                   0,             0.97604,                   1,             0.99404,              0.4987,            0.032847,            0.009307,                   0,            0.005248,            0.005248,            0.005248
                  98,             0.03709,            0.010131,                   0,             0.97686,             0.98039,             0.97725,             0.49465,            0.032531,           0.0093293,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.037236,            0.009049,                   0,             0.99774,                   1,               0.995,             0.56118,            0.031242,           0.0092342,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.037536,           0.0094934,                   0,               0.978,             0.98039,             0.97425,             0.44984,            0.035831,           0.0091444,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.036159,           0.0096038,                   0,               0.978,             0.98039,             0.97425,             0.44984,            0.035831,           0.0091444,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.035285,            0.010184,                   0,             0.97746,             0.98039,             0.97346,             0.45124,            0.035033,           0.0092193,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.032795,           0.0086637,                   0,             0.99771,                   1,               0.995,             0.64375,            0.028256,           0.0093769,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.032785,           0.0086738,                   0,             0.99782,                   1,               0.995,             0.65109,            0.029293,           0.0091761,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.034551,            0.010016,                   0,             0.94068,                   1,             0.99368,             0.55849,            0.034404,           0.0089666,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.038583,           0.0095778,                   0,             0.99831,                   1,               0.995,             0.67187,            0.027707,           0.0090166,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.032287,           0.0093798,                   0,             0.98066,             0.99453,             0.99404,             0.63694,            0.033036,           0.0088259,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.037174,           0.0086187,                   0,             0.99825,                   1,               0.995,             0.66516,            0.030079,           0.0087187,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.033581,            0.009895,                   0,             0.99825,                   1,               0.995,             0.66516,            0.030079,           0.0087187,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.031681,           0.0094572,                   0,             0.99827,                   1,               0.995,             0.65927,            0.030732,           0.0086526,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.033039,           0.0084316,                   0,             0.99827,                   1,               0.995,             0.66576,            0.028986,           0.0086763,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.033896,           0.0075151,                   0,              0.9983,                   1,               0.995,             0.65234,            0.030474,           0.0086733,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.031768,           0.0080016,                   0,             0.99825,                   1,               0.995,             0.65781,            0.028543,           0.0087584,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.031075,           0.0092739,                   0,             0.99816,                   1,               0.995,             0.58101,            0.028374,            0.008799,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.033772,           0.0092838,                   0,             0.99667,                   1,               0.995,             0.55525,             0.03167,           0.0087692,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.030501,            0.010147,                   0,             0.99814,                   1,               0.995,             0.54804,            0.030018,           0.0085964,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.032801,            0.007822,                   0,             0.99814,                   1,               0.995,             0.54804,            0.030018,           0.0085964,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.032582,           0.0092934,                   0,              0.9981,                   1,               0.995,             0.52977,            0.030362,           0.0085802,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029361,           0.0090535,                   0,             0.99834,                   1,               0.995,             0.65259,            0.025389,           0.0086228,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.028892,           0.0082019,                   0,             0.99817,                   1,               0.995,             0.65643,            0.026999,           0.0085642,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.033068,           0.0082279,                   0,             0.99742,                   1,               0.995,             0.61589,            0.029704,           0.0084294,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.033503,           0.0092509,                   0,             0.99805,                   1,               0.995,             0.62976,            0.027182,           0.0084974,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030944,           0.0091504,                   0,             0.99755,                   1,               0.995,             0.60802,            0.028803,           0.0084233,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.034827,           0.0088962,                   0,             0.99795,                   1,               0.995,             0.60647,            0.027713,           0.0084014,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.029998,           0.0084874,                   0,             0.99795,                   1,               0.995,             0.60647,            0.027713,           0.0084014,                   0,            0.003862,            0.003862,            0.003862
                 126,             0.02988,           0.0086947,                   0,             0.99779,                   1,               0.995,             0.60142,            0.028246,           0.0083651,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.030346,           0.0082997,                   0,             0.99745,                   1,               0.995,             0.70302,            0.023405,           0.0083605,                   0,            0.003763,            0.003763,            0.003763
